,City,State,Area (km2),Population,Radius (m),Latitude,Longitude
0,New York City,New York,1213.37,"8,622,698",19652.675812693447,40.7308619,-73.9871558
1,Chicago,Illinois,606.0,"2,695,598",13888.692920047486,41.8755616,-87.6244212
2,Philadelphia,Pennsylvania,369.62,"1,567,827",10846.829035771363,39.9524152,-75.1635755
3,Jacksonville,Florida,2265.3,"821,784",26852.697912354008,30.3321838,-81.655651
4,Indianapolis, Indiana,953.18,"820,445",17418.571046807072,39.7683331,-86.1583502
5,Columbus,Ohio,577.85,"787,033",13562.277379972122,39.9622601,-83.0007065
6,Charlotte, North Carolina,771.0,"731,424",15665.788274060857,35.2270869,-80.8431268
7,Detroit, Michigan,370.08,"713,777",10853.576492516062,42.3315509,-83.0466403
8,"Washington, D.C.",,177.0,"703,608",7506.054213402069,38.8950092,-77.0365625
9,Boston,Massachusetts,232.14,"667,137",8596.072183195367,42.3602534,-71.0582912
10,Memphis,Tennessee,839.2,"646,889",16343.979212096336,35.1490215,-90.0516285
11,Baltimore, Maryland,238.41,"611,648",8711.386799188607,39.2908816,-76.610759
12,Nashville,Tennessee,1362.2,"601,222",20823.105603140943,36.1622296,-86.7743531
13,Louisville,Kentucky,1030.0,"597,337",18106.88219350047,38.2542376,-85.759407
14,Milwaukee,Wisconsin,250.8,"594,833",8934.882173531709,43.0349931,-87.922497
15,Miami,Florida,145.2,"453,579",6798.425955608137,25.7742658,-80.1936589
16,Virginia Beach, Virginia,1290.0,"437,994",20263.75466632702,36.8529841,-75.9774183
17,Atlanta, Georgia,347.1,"420,003",10511.20171504637,33.7490987,-84.3901849
18,Raleigh, North Carolina,375.0,"403,892",10925.484305920792,35.7803977,-78.6390989
19,Cleveland,Ohio,213.6,"396,815",8245.665024050983,41.5051613,-81.6934446
20,Tampa,Florida,453.81,"335,709",12018.827290924271,27.9477595,-82.458444
21,Pittsburgh, Pennsylvania,151.12,"305,704",6935.6319106548935,40.4416941,-79.9900861
22,Cincinnati,Ohio,206.01,"296,943",8097.840431418906,39.1014537,-84.5124602
23,Lexington,Kentucky,739.4,"295,803",15341.392695720126,38.0464066,-84.4970393
