,Cluster Labels,City,State,Latitude,Longitude
0,3,Atlanta, Georgia,33.749098700000005,-84.39018490000001
1,4,Baltimore, Maryland,39.2908816,-76.610759
2,2,Boston,Massachusetts,42.3602534,-71.0582912
3,4,Charlotte, North Carolina,35.2270869,-80.8431268
4,2,Chicago,Illinois,41.875561600000005,-87.6244212
5,1,Cincinnati,Ohio,39.1014537,-84.5124602
6,1,Cleveland,Ohio,41.5051613,-81.6934446
7,1,Columbus,Ohio,39.9622601,-83.00070649999999
8,1,Detroit, Michigan,42.331550899999996,-83.04664029999999
9,7,Indianapolis, Indiana,39.7683331,-86.1583502
10,1,Jacksonville,Florida,30.3321838,-81.655651
11,1,Lexington,Kentucky,38.0464066,-84.4970393
12,1,Louisville,Kentucky,38.254237599999996,-85.759407
13,1,Memphis,Tennessee,35.1490215,-90.0516285
14,4,Miami,Florida,25.7742658,-80.1936589
15,1,Milwaukee,Wisconsin,43.0349931,-87.92249699999999
16,7,Nashville,Tennessee,36.1622296,-86.7743531
17,2,New York City,New York,40.7308619,-73.9871558
18,0,Philadelphia,Pennsylvania,39.9524152,-75.16357550000001
19,4,Pittsburgh, Pennsylvania,40.4416941,-79.99008609999998
20,1,Raleigh, North Carolina,35.7803977,-78.63909890000001
21,1,Tampa,Florida,27.947759499999997,-82.458444
22,6,Virginia Beach, Virginia,36.8529841,-75.9774183
23,5,"Washington, D.C.",,38.8950092,-77.0365625
